,category1,category2,score1,score2,frequency
0,motivation and mental strength,self-improvement and personal growth,0.7689784876298934,0.8222830382987495,3443
1,mental health experiences,self-improvement and personal growth,0.7048566955900978,0.8419290131650632,2923
2,mental health experiences,motivation and mental strength,0.7108103091682059,0.7992731064907141,2817
3,self-care practices,self-improvement and personal growth,0.6689326404924276,0.8676628005580288,2678
4,motivation and mental strength,self-care practices,0.8132914344987595,0.6737103834159753,2532
5,mental health experiences,self-care practices,0.7407404850004539,0.6807634152757986,2423
6,mindfulness and mental wellness,self-improvement and personal growth,0.7029903780191377,0.8758659263197183,2340
7,mindfulness and mental wellness,motivation and mental strength,0.7077445098547952,0.8293804227133014,2287
8,mental health experiences,mindfulness and mental wellness,0.7525367661510899,0.7134181861374153,2236
9,mindfulness and mental wellness,self-care practices,0.7160184865650535,0.7004280902683491,2221
10,addiction awareness and recovery,self-improvement and personal growth,0.6294144813077591,0.8795799962828849,2209
11,addiction awareness and recovery,mental health experiences,0.6320783850149257,0.7689857712476021,2168
12,addiction awareness and recovery,motivation and mental strength,0.6313575924078698,0.8344836982730811,2156
13,addiction awareness and recovery,self-care practices,0.6411828738696679,0.7065012008682905,2038
14,emotional health discussion,mental health experiences,0.6009898501954218,0.7965270736751386,2014
15,emotional health discussion,self-improvement and personal growth,0.6000597859622839,0.8760808057374003,2007
16,emotional health discussion,motivation and mental strength,0.600112973222389,0.8356550321670926,1971
17,addiction awareness and recovery,mindfulness and mental wellness,0.6437312454501668,0.7356579172653771,1962
18,emotional health discussion,self-care practices,0.6090413378030605,0.7194470350864289,1877
19,self-improvement and personal growth,work-life balance and burnout,0.8763679231322096,0.5441710285524073,1849
20,mental health experiences,work-life balance and burnout,0.7889853248527219,0.5447964701947962,1832
21,mental health education,mental health experiences,0.6188124951305684,0.8106287789468831,1826
22,mental health education,self-improvement and personal growth,0.61910167256315,0.8926597331639307,1822
23,motivation and mental strength,work-life balance and burnout,0.8410143564035614,0.5442890669782089,1820
24,addiction awareness and recovery,emotional health discussion,0.6618423546969738,0.612443471365395,1815
25,mental health education,motivation and mental strength,0.6203346395147404,0.850556406368789,1796
26,emotional health discussion,mindfulness and mental wellness,0.609314550933928,0.7535631268368841,1793
27,mental health education,self-care practices,0.6232533765034375,0.7332627828480637,1771
