11330,monetization,ad\b,"Oct 12, 2024, 7:53:16 PM PST",Music
11746,trending,shorts,"Oct 6, 2024, 10:33:52 PM PST",Shorts
10914,community,ft\.,"Oct 17, 2024, 8:56:56 PM PST",Music
10915,community,ft\.,"Oct 17, 2024, 8:52:44 PM PST",Music
11747,trending,shorts,"Oct 6, 2024, 10:33:36 PM PST",Shorts
11749,series,#\d+,"Oct 6, 2024, 10:32:39 PM PST",Podcast
10918,monetization,ad\b,"Oct 17, 2024, 8:13:55 PM PST",Music
10918,community,vs,"Oct 17, 2024, 8:13:55 PM PST",Music
11335,trending,shorts,"Oct 12, 2024, 7:22:53 PM PST",Shorts
11750,trending,shorts,"Oct 6, 2024, 10:21:38 PM PST",Shorts
10919,monetization,ad\b,"Sebastian Ingrosso, Tommy Trash, John Martin - Reload  (Official Video)",Music
11336,monetization,ad\b,"Oct 12, 2024, 7:22:51 PM PST",Gaming
11338,trending,shorts,"Oct 12, 2024, 7:22:27 PM PST",Shorts
10922,series,#\d+,"Oct 17, 2024, 8:04:06 PM PST",Education
10922,trending,new,"Oct 17, 2024, 8:04:06 PM PST",Education
10923,community,with,"Oct 17, 2024, 8:03:33 PM PST",Education
10923,community,vs,"Oct 17, 2024, 8:03:33 PM PST",Education
11341,trending,shorts,who sang it better - Mary on a cross #cover #shorts,Shorts
11755,community,with,"Oct 6, 2024, 6:45:58 PM PST",Podcast
11343,trending,viral,When You Realize What This Viral Song Really Means: Ghost “Mary On A Cross” #shorts #ghost #rock,Music
11343,trending,shorts,When You Realize What This Viral Song Really Means: Ghost “Mary On A Cross” #shorts #ghost #rock,Music
10928,trending,new,"Oct 17, 2024, 7:34:22 PM PST",News
11346,monetization,ad\b,"Sebastian Ingrosso, Tommy Trash, John Martin - Reload  (Official Video)",Music
11347,community,ft\.,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),Music
10933,trending,shorts,"Oct 17, 2024, 7:14:35 PM PST",Shorts
11349,community,ft\.,"Oct 12, 2024, 5:54:45 PM PST",Music
