,category,sentiment,timestamp_str,score,timestamp
0,self-improvement and personal growth,POSITIVE,2024-12-29T08:35:52Z,0.885776698589325,2024-12-29 08:35:52+00:00
1,motivation and mental strength,POSITIVE,2024-12-29T08:35:52Z,0.8339487314224243,2024-12-29 08:35:52+00:00
2,addiction awareness and recovery,POSITIVE,2024-12-29T08:35:52Z,0.546439528465271,2024-12-29 08:35:52+00:00
3,mindfulness and mental wellness,POSITIVE,2024-12-29T08:35:52Z,0.7957519888877869,2024-12-29 08:35:52+00:00
4,mental health experiences,POSITIVE,2024-12-29T08:35:52Z,0.6207132935523987,2024-12-29 08:35:52+00:00
5,mental health education,POSITIVE,2024-12-29T08:35:52Z,0.3490762412548065,2024-12-29 08:35:52+00:00
6,self-care practices,POSITIVE,2024-12-29T08:35:52Z,0.6161792278289795,2024-12-29 08:35:52+00:00
7,work-life balance and burnout,POSITIVE,2024-12-29T08:35:52Z,0.372068703174591,2024-12-29 08:35:52+00:00
8,trauma awareness and healing,POSITIVE,2024-12-29T08:35:52Z,0.4056883752346039,2024-12-29 08:35:52+00:00
9,sleep and mental wellness,POSITIVE,2024-12-29T08:35:52Z,0.3094654083251953,2024-12-29 08:35:52+00:00
10,mental health experiences,NEGATIVE,2024-12-29T08:35:59Z,0.6854199767112732,2024-12-29 08:35:59+00:00
11,motivation and mental strength,NEGATIVE,2024-12-29T08:35:59Z,0.8903810381889343,2024-12-29 08:35:59+00:00
12,self-improvement and personal growth,NEGATIVE,2024-12-29T08:35:59Z,0.8927499651908875,2024-12-29 08:35:59+00:00
13,mindfulness and mental wellness,NEGATIVE,2024-12-29T08:35:59Z,0.4893417060375213,2024-12-29 08:35:59+00:00
14,self-care practices,NEGATIVE,2024-12-29T08:35:59Z,0.3568416833877563,2024-12-29 08:35:59+00:00
15,self-care practices,NEGATIVE,2024-12-29T08:36:55Z,0.8350469470024109,2024-12-29 08:36:55+00:00
16,self-improvement and personal growth,NEGATIVE,2024-12-29T08:36:55Z,0.9125072360038756,2024-12-29 08:36:55+00:00
17,mental health experiences,NEGATIVE,2024-12-29T08:36:55Z,0.7881259322166443,2024-12-29 08:36:55+00:00
18,sleep and mental wellness,NEGATIVE,2024-12-29T08:36:55Z,0.5239184498786926,2024-12-29 08:36:55+00:00
19,motivation and mental strength,NEGATIVE,2024-12-29T08:36:55Z,0.8523629903793335,2024-12-29 08:36:55+00:00
20,emotional health discussion,NEGATIVE,2024-12-29T08:36:55Z,0.4666044414043426,2024-12-29 08:36:55+00:00
21,addiction awareness and recovery,NEGATIVE,2024-12-29T08:36:55Z,0.7461526989936829,2024-12-29 08:36:55+00:00
22,mindfulness and mental wellness,NEGATIVE,2024-12-29T08:36:55Z,0.583384096622467,2024-12-29 08:36:55+00:00
23,trauma awareness and healing,NEGATIVE,2024-12-29T08:36:55Z,0.6582366228103638,2024-12-29 08:36:55+00:00
24,mental health education,NEGATIVE,2024-12-29T08:36:55Z,0.6885411143302917,2024-12-29 08:36:55+00:00
25,work-life balance and burnout,NEGATIVE,2024-12-29T08:36:55Z,0.5530173778533936,2024-12-29 08:36:55+00:00
26,anxiety and stress management,NEGATIVE,2024-12-29T08:36:55Z,0.5131515264511108,2024-12-29 08:36:55+00:00
27,depression and emotional support,NEGATIVE,2024-12-29T08:36:55Z,0.3244349062442779,2024-12-29 08:36:55+00:00
28,depression and emotional support,NEGATIVE,2024-12-29T08:37:14Z,0.6423309445381165,2024-12-29 08:37:14+00:00
