video_id,title,category,mental_health_aspects,avg_score,sentiments
174,Saathiya (The Unwind Mix),Music,"['self-improvement and personal growth', 'mindfulness and mental wellness', 'sleep and mental wellness', 'self-care practices', 'motivation and mental strength', 'anxiety and stress management', 'emotional health discussion', 'trauma awareness and healing', 'mental health experiences', 'addiction awareness and recovery', 'work-life balance and burnout', 'therapy and mental health support', 'social anxiety and relationships', 'depression and emotional support', 'mental health education']",0.925873307387034,['NEGATIVE']
353,For Me,Entertainment,"['self-improvement and personal growth', 'mental health experiences', 'self-care practices', 'mindfulness and mental wellness', 'therapy and mental health support', 'motivation and mental strength', 'emotional health discussion', 'mental health education', 'trauma awareness and healing', 'depression and emotional support', 'addiction awareness and recovery', 'social anxiety and relationships', 'sleep and mental wellness', 'anxiety and stress management', 'work-life balance and burnout']",0.9051527619361878,['POSITIVE']
335,Akcent - Stay With Me,Music,"['motivation and mental strength', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'mental health experiences', 'self-improvement and personal growth', 'trauma awareness and healing', 'emotional health discussion', 'self-care practices', 'mental health education', 'depression and emotional support', 'social anxiety and relationships', 'therapy and mental health support', 'sleep and mental wellness', 'anxiety and stress management', 'work-life balance and burnout']",0.8983329216639201,['POSITIVE']
160,Akcent - Stay With Me,Music,"['motivation and mental strength', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'mental health experiences', 'self-improvement and personal growth', 'trauma awareness and healing', 'emotional health discussion', 'self-care practices', 'mental health education', 'depression and emotional support', 'social anxiety and relationships', 'therapy and mental health support', 'sleep and mental wellness', 'anxiety and stress management', 'work-life balance and burnout']",0.8983329216639201,['POSITIVE']
37,MAAHI VE,Music,"['mental health experiences', 'mental health education', 'mindfulness and mental wellness', 'motivation and mental strength', 'emotional health discussion', 'addiction awareness and recovery', 'therapy and mental health support', 'self-improvement and personal growth', 'sleep and mental wellness', 'trauma awareness and healing', 'social anxiety and relationships', 'self-care practices', 'work-life balance and burnout', 'anxiety and stress management', 'depression and emotional support']",0.8956790328025818,['POSITIVE']
682,I Didn't Wake Up Social⚡,Entertainment,"['mental health experiences', 'motivation and mental strength', 'sleep and mental wellness', 'self-improvement and personal growth', 'emotional health discussion', 'mindfulness and mental wellness', 'addiction awareness and recovery', 'trauma awareness and healing', 'depression and emotional support', 'mental health education', 'self-care practices', 'social anxiety and relationships', 'work-life balance and burnout', 'therapy and mental health support', 'anxiety and stress management']",0.8647408207257589,['NEGATIVE']
913,Say Na Say Na,Music,"['mindfulness and mental wellness', 'motivation and mental strength', 'self-improvement and personal growth', 'emotional health discussion', 'mental health experiences', 'mental health education', 'addiction awareness and recovery', 'sleep and mental wellness', 'self-care practices', 'trauma awareness and healing', 'therapy and mental health support', 'social anxiety and relationships', 'anxiety and stress management', 'depression and emotional support', 'work-life balance and burnout']",0.8591198086738586,['NEGATIVE']
195,Mehmaan,Music,"['mental health experiences', 'mindfulness and mental wellness', 'motivation and mental strength', 'self-improvement and personal growth', 'emotional health discussion', 'mental health education', 'trauma awareness and healing', 'therapy and mental health support', 'self-care practices', 'social anxiety and relationships', 'addiction awareness and recovery', 'sleep and mental wellness', 'depression and emotional support', 'work-life balance and burnout', 'anxiety and stress management']",0.8543522914250691,['NEGATIVE']
182,Los Angeles,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'therapy and mental health support', 'mental health experiences', 'self-care practices', 'mental health education', 'trauma awareness and healing', 'depression and emotional support', 'work-life balance and burnout', 'emotional health discussion', 'anxiety and stress management', 'social anxiety and relationships', 'sleep and mental wellness']",0.820800745487213,['POSITIVE']
891,Los Angeles,Entertainment,"['self-improvement and personal growth', 'motivation and mental strength', 'addiction awareness and recovery', 'mindfulness and mental wellness', 'therapy and mental health support', 'mental health experiences', 'self-care practices', 'mental health education', 'trauma awareness and healing', 'depression and emotional support', 'work-life balance and burnout', 'emotional health discussion', 'anxiety and stress management', 'social anxiety and relationships', 'sleep and mental wellness']",0.820800745487213,['POSITIVE']
369,Simon says MINGLE...,Music,"['mindfulness and mental wellness', 'mental health experiences', 'motivation and mental strength', 'self-improvement and personal growth', 'mental health education', 'emotional health discussion', 'self-care practices', 'sleep and mental wellness', 'therapy and mental health support', 'addiction awareness and recovery', 'social anxiety and relationships', 'anxiety and stress management', 'trauma awareness and healing', 'depression and emotional support', 'work-life balance and burnout']",0.8158560911814372,['NEGATIVE']
117,"TOKYO !!! 東京最高でした!!! 😭😭 伝えたいことがたくさんあるけど、長くなりすぎちゃうから、一言だけ。「ありがとう」。
昨夜のことは絶対に忘れません。",Entertainment,"['mindfulness and mental wellness', 'self-improvement and personal growth', 'motivation and mental strength', 'mental health experiences', 'addiction awareness and recovery', 'mental health education', 'work-life balance and burnout', 'trauma awareness and healing', 'self-care practices', 'depression and emotional support', 'emotional health discussion', 'therapy and mental health support', 'social anxiety and relationships', 'anxiety and stress management', 'sleep and mental wellness']",0.8073299566904704,['POSITIVE']
669,He interfered with his goal with his words. #movie #sports #clips,Entertainment,"['motivation and mental strength', 'self-improvement and personal growth']",0.807051420211792,['NEGATIVE']
