video_id,title,watched_at,primary_category,detailed_type,sentiment,sentiment_score,primary_format,primary_purpose,style,confidence,source_file
18001,Unleash Your Inner Peaky Blinder: Become a Tommy Shelby Boss#thomasshelby#sigma#shorts#atitude,"Jul 2, 2024, 3:51:10 AM PST",Shorts,,NEGATIVE,0.9578321576118469,commentary,storytelling,"informative,dramatic,serious,funny,personal",0.8109418749809265,youtube_analysis_20250303_022941_main.csv
18002,Had to watch this 5 times to fully appreciate what happened here 😳 #shorts,"Jul 2, 2024, 3:50:55 AM PST",Shorts,,POSITIVE,0.9558574557304382,news,entertainment,"dramatic,funny,informative,personal,serious",0.9939613342285156,youtube_analysis_20250303_022941_main.csv
18003,isn't it absolutely normal at 2am ? (Follow my second Channel @Merayad2 ),"Jul 2, 2024, 3:50:33 AM PST",Gaming,Review,NEGATIVE,0.9943680167198181,reaction,information,"casual,informative,funny,professional",0.19736336171627045,youtube_analysis_20250303_022941_main.csv
18004,When Ferrari saved Charles Leclerc's Formula 1 career,"Jul 2, 2024, 3:50:06 AM PST",Technology,,POSITIVE,0.9944115281105042,news,information,"dramatic,serious,informative,professional,funny,personal",0.894738495349884,youtube_analysis_20250303_022941_main.csv
18005,She is so Adorable 😍,"Jul 2, 2024, 3:49:53 AM PST",Entertainment,,POSITIVE,0.9998002648353577,reaction,entertainment,,0.7053347826004028,youtube_analysis_20250303_022941_main.csv
18006,"""Must-See Peaky Blinders Clips #IconicScenes🪩 #shortsviral💝 #trendingvideo〽️","Jul 2, 2024, 3:49:33 AM PST",Entertainment,,NEGATIVE,0.9898694157600403,news,entertainment,"dramatic,informative,funny",0.9355750679969788,youtube_analysis_20250303_022941_main.csv
18007,Pointing my laser,"Jul 2, 2024, 3:48:54 AM PST",Technology,,POSITIVE,0.957288384437561,guide,information,"professional,dramatic,serious,personal,informative,funny",0.9256894588470459,youtube_analysis_20250303_022941_main.csv
18008,Bus drives from road onto rail track! 😮🤯  -  🎥 sigorvision,"Jul 2, 2024, 3:48:37 AM PST",Entertainment,,NEGATIVE,0.743891179561615,reaction,comedy,"funny,dramatic,serious,informative",0.3747819662094116,youtube_analysis_20250303_022941_main.csv
18009,How to use JEE mechanics IRL😂🤣| #youtubeshorts #mechanic #engineering,"Jul 2, 2024, 3:48:19 AM PST",Tutorial,,NEGATIVE,0.8104393482208252,tutorial,information,"funny,dramatic,informative,casual",0.857925295829773,youtube_analysis_20250303_022941_main.csv
18010,i am big bro 😤,"Jul 2, 2024, 3:47:57 AM PST",Gaming,Review,POSITIVE,0.9808809757232666,reaction,information,"personal,funny,dramatic,informative,serious",0.42775413393974304,youtube_analysis_20250303_022941_main.csv
18011,Tom The Famous Seaworld Mime | Tom the mime | Vid 001,"Jul 2, 2024, 3:43:27 AM PST",Entertainment,,POSITIVE,0.8528889417648315,vlog,entertainment,"informative,funny,dramatic,professional,serious",0.8408510088920593,youtube_analysis_20250303_022941_main.csv
18012,He made her day!,"Jul 2, 2024, 3:43:08 AM PST",Entertainment,,POSITIVE,0.9997733235359192,reaction,entertainment,"dramatic,personal,funny,informative,professional",0.7615718841552734,youtube_analysis_20250303_022941_main.csv
18013,Deep Lucid Dreaming Theta Waves Sleep Hypnosis For Lucid Dream Induction | Enter REM Sleep Cycle,"Jul 1, 2024, 7:41:51 PM PST",Technology,,NEGATIVE,0.9817351698875427,guide,information,"informative,dramatic,professional,serious",0.59051913022995,youtube_analysis_20250303_022941_main.csv
18014,Hang Up,"Jul 1, 2024, 7:41:37 PM PST",Reviews,,NEGATIVE,0.9879921674728394,reaction,information,"casual,dramatic,serious,personal,professional",0.34600043296813965,youtube_analysis_20250303_022941_main.csv
18015,Shocking facts about Bruce Lee 🤯🐐,"Jul 1, 2024, 7:41:30 PM PST",News,,POSITIVE,0.9271286129951477,news,information,"dramatic,serious,funny,informative",0.9529247879981995,youtube_analysis_20250303_022941_main.csv
18016,Lewis Hamilton schools ignorant stars on F1👀,"Jul 1, 2024, 7:41:11 PM PST",Sports,,NEGATIVE,0.6814233064651489,tutorial,education,"informative,dramatic,serious,funny,professional,personal",0.9818617701530457,youtube_analysis_20250303_022941_main.csv
18017,No Way! Charlie Puth just make a Music out of a Spoon and a Cup,"Jul 1, 2024, 7:40:10 PM PST",Music,Lyric Video,NEGATIVE,0.9982873797416687,unknown,unknown,,0.8952623605728149,youtube_analysis_20250303_022941_main.csv
18018,These kids weren’t even born when Dr. Dre dropped this 🤣 #shorts,"Jul 1, 2024, 7:39:12 PM PST",Shorts,,NEGATIVE,0.9982155561447144,reaction,comedy,"funny,dramatic,casual,informative,personal",0.9856782555580139,youtube_analysis_20250303_022941_main.csv
