app,start,steps_count
com.sec.android.app.shealth,2025-02-07 08:00:00+00:00,3456
com.sec.android.app.shealth,2025-02-08 08:00:00+00:00,5125
com.sec.android.app.shealth,2025-02-09 08:00:00+00:00,3994
com.sec.android.app.shealth,2025-02-10 08:00:00+00:00,5007
com.sec.android.app.shealth,2025-02-11 08:00:00+00:00,7892
com.sec.android.app.shealth,2025-02-12 08:00:00+00:00,4714
com.sec.android.app.shealth,2025-02-13 08:00:00+00:00,6633
com.sec.android.app.shealth,2025-02-14 08:00:00+00:00,3979
com.sec.android.app.shealth,2025-02-15 08:00:00+00:00,11393
com.sec.android.app.shealth,2025-02-16 08:00:00+00:00,6301
com.sec.android.app.shealth,2025-02-17 08:00:00+00:00,3562
com.sec.android.app.shealth,2025-02-18 08:00:00+00:00,7295
com.sec.android.app.shealth,2025-02-19 08:00:00+00:00,3370
com.sec.android.app.shealth,2025-02-20 08:00:00+00:00,9588
com.sec.android.app.shealth,2025-02-21 08:00:00+00:00,4816
com.sec.android.app.shealth,2025-02-22 08:00:00+00:00,4642
com.sec.android.app.shealth,2025-02-23 08:00:00+00:00,4047
com.sec.android.app.shealth,2025-02-24 08:00:00+00:00,6356
com.sec.android.app.shealth,2025-02-25 08:00:00+00:00,2216
com.sec.android.app.shealth,2025-02-26 08:00:00+00:00,678
com.sec.android.app.shealth,2025-02-27 08:00:00+00:00,3825
com.sec.android.app.shealth,2025-02-28 08:00:00+00:00,1118
com.sec.android.app.shealth,2025-03-01 08:00:00+00:00,3616
com.sec.android.app.shealth,2025-03-02 08:00:00+00:00,9369
com.sec.android.app.shealth,2025-03-03 08:00:00+00:00,662
com.sec.android.app.shealth,2025-03-19 07:00:00+00:00,2869
com.sec.android.app.shealth,2025-03-20 07:00:00+00:00,6605
com.sec.android.app.shealth,2025-03-21 07:00:00+00:00,6257
com.sec.android.app.shealth,2025-03-22 07:00:00+00:00,2034
com.sec.android.app.shealth,2025-03-23 07:00:00+00:00,3085
com.sec.android.app.shealth,2025-03-24 07:00:00+00:00,1627
com.sec.android.app.shealth,2025-03-25 07:00:00+00:00,4127
com.sec.android.app.shealth,2025-03-26 07:00:00+00:00,3641
com.sec.android.app.shealth,2025-03-27 07:00:00+00:00,7186
com.sec.android.app.shealth,2025-03-28 07:00:00+00:00,2784
com.sec.android.app.shealth,2025-03-29 07:00:00+00:00,2287
com.sec.android.app.shealth,2025-03-30 07:00:00+00:00,5656
com.sec.android.app.shealth,2025-03-31 07:00:00+00:00,1208
com.sec.android.app.shealth,2025-04-01 07:00:00+00:00,2390
com.sec.android.app.shealth,2025-04-02 07:00:00+00:00,2701
com.sec.android.app.shealth,2025-04-03 07:00:00+00:00,5306
com.sec.android.app.shealth,2025-04-04 07:00:00+00:00,1086
com.sec.android.app.shealth,2025-04-05 07:00:00+00:00,2393
com.sec.android.app.shealth,2025-04-06 07:00:00+00:00,2376
com.sec.android.app.shealth,2025-04-07 07:00:00+00:00,6537
com.sec.android.app.shealth,2025-04-08 07:00:00+00:00,3352
com.sec.android.app.shealth,2025-04-09 07:00:00+00:00,9330
com.sec.android.app.shealth,2025-04-10 07:00:00+00:00,657
com.sec.android.app.shealth,2025-04-11 07:00:00+00:00,4089
com.sec.android.app.shealth,2025-04-12 07:00:00+00:00,7525
com.sec.android.app.shealth,2025-04-13 07:00:00+00:00,4094
com.sec.android.app.shealth,2025-04-14 07:00:00+00:00,813
com.sec.android.app.shealth,2025-04-15 07:00:00+00:00,6461
com.sec.android.app.shealth,2025-04-16 07:00:00+00:00,506
com.sec.android.app.shealth,2025-04-17 07:00:00+00:00,5839
com.sec.android.app.shealth,2025-04-18 07:00:00+00:00,11745
com.sec.android.app.shealth,2025-04-19 07:00:00+00:00,4996
com.sec.android.app.shealth,2025-04-20 07:00:00+00:00,3286
com.sec.android.app.shealth,2025-04-21 07:00:00+00:00,4793
com.sec.android.app.shealth,2025-04-22 07:00:00+00:00,5142
com.sec.android.app.shealth,2025-04-23 07:00:00+00:00,5670
com.sec.android.app.shealth,2025-04-24 07:00:00+00:00,3822
