app,end,start,distance_inKilometers,distance_inMiles
com.fitbit.FitbitMobile,2025-01-21 03:01:00+00:00,2025-01-21 03:00:00+00:00,0.000671,0.00041694110629202037
com.google.android.apps.fitness,2025-01-21 03:01:00+00:00,2025-01-21 03:00:00+00:00,0.0006710000038146973,0.00041694110866236924
com.fitbit.FitbitMobile,2025-01-21 03:02:00+00:00,2025-01-21 03:01:00+00:00,0.002013,0.001250823318876061
com.google.android.apps.fitness,2025-01-21 03:02:00+00:00,2025-01-21 03:01:00+00:00,0.002013000011444092,0.0012508233259871076
com.fitbit.FitbitMobile,2025-01-21 03:13:00+00:00,2025-01-21 03:12:00+00:00,0.001342,0.0008338822125840407
com.google.android.apps.fitness,2025-01-21 03:13:00+00:00,2025-01-21 03:12:00+00:00,0.0013420000076293946,0.0008338822173247385
com.fitbit.FitbitMobile,2025-01-21 03:19:00+00:00,2025-01-21 03:18:00+00:00,0.000671,0.00041694110629202037
com.google.android.apps.fitness,2025-01-21 03:19:00+00:00,2025-01-21 03:18:00+00:00,0.0006710000038146973,0.00041694110866236924
com.fitbit.FitbitMobile,2025-01-21 03:20:00+00:00,2025-01-21 03:19:00+00:00,0.012078,0.007504939913256366
com.google.android.apps.fitness,2025-01-21 03:20:00+00:00,2025-01-21 03:19:00+00:00,0.01207800006866455,0.007504939955922646
com.fitbit.FitbitMobile,2025-01-21 03:21:00+00:00,2025-01-21 03:20:00+00:00,0.036234,0.0225148197397691
com.google.android.apps.fitness,2025-01-21 03:21:00+00:00,2025-01-21 03:20:00+00:00,0.03623400115966797,0.022514820460355158
com.google.android.apps.fitness,2025-01-21 03:21:00+00:00,2025-01-21 03:21:00+00:00,0.02065095329284668,0.01283193936200348
com.fitbit.FitbitMobile,2025-01-21 03:23:00+00:00,2025-01-21 03:22:00+00:00,0.000671,0.00041694110629202037
com.google.android.apps.fitness,2025-01-21 03:23:00+00:00,2025-01-21 03:22:00+00:00,0.0006710000038146973,0.00041694110866236924
com.fitbit.FitbitMobile,2025-01-21 03:24:00+00:00,2025-01-21 03:23:00+00:00,0.012078,0.007504939913256366
com.google.android.apps.fitness,2025-01-21 03:24:00+00:00,2025-01-21 03:23:00+00:00,0.01207800006866455,0.007504939955922646
com.google.android.apps.fitness,2025-01-21 03:24:00+00:00,2025-01-21 03:24:00+00:00,1.2642723741009831e-06,7.855843849658762e-07
com.fitbit.FitbitMobile,2025-01-21 03:25:00+00:00,2025-01-21 03:24:00+00:00,0.004026,0.002501646637752122
com.google.android.apps.fitness,2025-01-21 03:25:00+00:00,2025-01-21 03:24:00+00:00,0.004026000022888184,0.0025016466519742152
